Nome	Latitudine	Longitudine	Descrizione
Arco		44,4887916666667	11,3164027777778	Punto di riferimento Arco
Arco119		44,4899416666667	11,3221583333333	Posizione Arco 119
Arco126		44,4898138888889	11,3217194444444	Posizione Arco 126
Arco131		44,4897777777778	11,3214666666667	Posizione Arco 131
Arco132		44,4897777777778	11,3214666666667	Posizione Arco 132
Arco132a	44,4897666666667	11,3214361111111	Posizione Arco 132a
Arco133		44,4897611111111	11,3214111111111	Posizione Arco 133
Arco136b	44,4897472222222	11,3212333333333	Posizione Arco 136b
Arco142a	44,4897111111111	11,3209055555556	Posizione Arco 142a
Arco143c	44,4896972222222	11,3208805555556	Posizione Arco 143c
Arco148		44,4895333333333	11,3204222222222	Posizione Arco 148
Arco163		44,4895433333333	11,3195666666667	Posizione Arco 163
Arco171		44,4892611111111	11,3191833333333	Posizione Arco 171
Arco180		44,4890377333333	11,3185305555556	Posizione Arco 180
Arco182		44,4890333333333	11,3184555555556	Posizione Arco 182
Arco183		44,4890416666667	11,3184583333333	Posizione Arco 183
Arco186b	44,4889527777778	11,3182138888889	Posizione Arco 186b
Arco188	    44,4889111111111	11,3180777777778	Posizione Arco 188
Arco190	    44,4888888888889	11,3180111111111	Posizione Arco 190
Arco192	    44,4889055555556	11,3180277777778	Posizione Arco 192
Arco192c	44,4889083333333	11,3179194444444	Posizione Arco 192c
Arco201a	44,4889222222222	11,3177194444444	Posizione Arco 201a
Arco202a	44,4888222222222	11,3176722222222	Posizione Arco 202a
Arco203b	44,4888416666667	11,3175222222222	Posizione Arco 203b
Arco208	    44,4888722222222	11,3168722222222	Posizione Arco 208
Arco208b	44,4888722222222	11,3168722222222	Posizione Arco 208b
Arco211	    44,4887916666667	11,3164027777778	Posizione Arco 211
Arco218	    44,4888694444444	11,3161555555556	Posizione Arco 218
Arco249a	44,4899658888889	11,3150916666667	Posizione Arco 249a
Arco256	    44,4899638888889	11,3143611111111	Posizione Arco 256
Arco258	    44,4900722222222	11,31411,38888889	Posizione Arco 258
Arco283	    44,4900694444444	11,3127166666667	Posizione Arco 283
Arco52	    44,4904611111111	11,3254527777778	Posizione Arco 52
Arco53	    44,4895444444444	11,3256527777778	Posizione Arco 53
Chiesa_Santa_Caterina_di_Saragozza	44,4900444444444	11,3328472222222	Chiesa Santa Caterina di Saragozza
Lapide	                            44,4899916666667	11,3145528777778	Punto Lapide
Lapide1	    						44,4898805555556	11,3145527777778	Punto Lapide 1
Lapide_Saragozza_inizio				44,4905694444444	11,3291861111111	Inizio Lapide Saragozza
Numero_civico_vecchio_di_Saragozza	44,4900055555556	11,3328444444444	Numero civico storico
Portone_Sontuoso					44,4906555555556	11,3292888888889	Portone monumentale
Rione_Falansterio					44,4903944444444	11,3310305555556	Area Rione Falansterio
lapide 2							44,4902444444444	11,3111833333333	Punto lapide 2
